lambda,mean_cluster_pnl
0.5,0.42983333333333335
0.64,0.42983333333333335
0.74,0.42983333333333335
0.73,0.42983333333333335
0.72,0.42983333333333335
0.71,0.42983333333333335
0.7000000000000001,0.42983333333333335
0.6900000000000001,0.42983333333333335
0.68,0.42983333333333335
0.67,0.42983333333333335
0.66,0.42983333333333335
0.65,0.42983333333333335
0.63,0.42983333333333335
0.51,0.42983333333333335
0.62,0.42983333333333335
0.61,0.42983333333333335
0.6,0.42983333333333335
0.59,0.42983333333333335
0.58,0.42983333333333335
0.5700000000000001,0.42983333333333335
0.56,0.42983333333333335
0.55,0.42983333333333335
0.54,0.42983333333333335
0.53,0.42983333333333335
0.75,0.42983333333333335
0.76,0.42983333333333335
0.77,0.42983333333333335
0.78,0.42983333333333335
0.99,0.42983333333333335
0.98,0.42983333333333335
0.97,0.42983333333333335
0.96,0.42983333333333335
0.9500000000000001,0.42983333333333335
0.9400000000000001,0.42983333333333335
0.93,0.42983333333333335
0.92,0.42983333333333335
0.91,0.42983333333333335
0.9,0.42983333333333335
0.89,0.42983333333333335
0.88,0.42983333333333335
0.87,0.42983333333333335
0.86,0.42983333333333335
0.85,0.42983333333333335
0.84,0.42983333333333335
0.8300000000000001,0.42983333333333335
0.8200000000000001,0.42983333333333335
0.81,0.42983333333333335
0.8,0.42983333333333335
0.79,0.42983333333333335
0.52,0.42983333333333335
1.0,0.42983333333333335
0.01,0.42983333333333335
0.13,0.42983333333333335
0.23,0.42983333333333335
0.22,0.42983333333333335
0.21,0.42983333333333335
0.2,0.42983333333333335
0.19,0.42983333333333335
0.18,0.42983333333333335
0.17,0.42983333333333335
0.16,0.42983333333333335
0.15,0.42983333333333335
0.14,0.42983333333333335
0.12,0.42983333333333335
0.49,0.42983333333333335
0.11,0.42983333333333335
0.1,0.42983333333333335
0.09,0.42983333333333335
0.08,0.42983333333333335
0.07,0.42983333333333335
0.06,0.42983333333333335
0.05,0.42983333333333335
0.04,0.42983333333333335
0.03,0.42983333333333335
0.02,0.42983333333333335
0.24,0.42983333333333335
0.25,0.42983333333333335
0.26,0.42983333333333335
0.27,0.42983333333333335
0.48,0.42983333333333335
0.47000000000000003,0.42983333333333335
0.46,0.42983333333333335
0.45,0.42983333333333335
0.44,0.42983333333333335
0.43,0.42983333333333335
0.42,0.42983333333333335
0.41000000000000003,0.42983333333333335
0.4,0.42983333333333335
0.39,0.42983333333333335
0.38,0.42983333333333335
0.37,0.42983333333333335
0.36,0.42983333333333335
0.35000000000000003,0.42983333333333335
0.34,0.42983333333333335
0.33,0.42983333333333335
0.32,0.42983333333333335
0.31,0.42983333333333335
0.3,0.42983333333333335
0.29,0.42983333333333335
0.28,0.42983333333333335
0.0,-0.15477777777777776
